example,changed,quality of life,capacity and resources,political,security and defense,policy prescription and evaluation,fairness and equality,other,health and safety,"legality, constitutionality and jurisprudence",morality,economic,public opinion,cultural identity,external regulation and reputation,crime and punishment
../human_annotation/images/17e639d0-f9c1-4ce8-ad56-c74cd4cd1165.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
../human_annotation/images/cdc09317-a5f2-4af7-9fc3-a4f3cae0c1d0.jpg,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
../human_annotation/images/c69cfe52-e928-4dc3-b36b-cf2c9e081e0f.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
../human_annotation/images/1980de34-e867-4b9b-9eed-113a831f0266.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/0416eb08-005f-44ba-aec8-ca0ee5e3faaa.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/cb5f118c-0231-4383-9832-aa9ffedced8d.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
../human_annotation/images/137b0747-029b-4924-8cef-e05e233da5a9.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/a58d328f-1dfd-4bf0-8637-31ddf3319c5e.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/b761f39d-fbb0-4749-80d0-7c0e5b3857c3.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/96033e64-e6e4-4649-9145-39bde0ddcf59.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/031178ac-3b7a-49b3-9279-45ece395bc72.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/5d7a3e3e-71ed-4c85-91ae-044eb019bd91.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
../human_annotation/images/43bf4fb8-0f60-4e16-9c6f-aff3af243d69.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/f13e1e63-d9b4-4127-b04d-6bdc034a1aee.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/94082f4f-e7fe-40ff-acec-3a1459cd8ee0.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/c5e429ea-49aa-481d-8172-0430f57ae926.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
../human_annotation/images/a156076d-d2eb-4ff6-8a61-08264b49f11d.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
../human_annotation/images/ad58c5d1-debe-454b-8f29-ed10e39a843e.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/3f9b4145-0ac7-42e9-9526-06ca89791c06.jpg,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
../human_annotation/images/2f20ed55-bf28-46b7-873b-8cbed555cb0f.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
../human_annotation/images/9ebdbfbc-cd8f-4c8b-b85f-4cf27e2b1196.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/40dc3037-685e-4980-9cc7-6c9b779ae28b.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
../human_annotation/images/a4ac1a06-64c1-4bb7-81b3-881ddd42f3d4.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
../human_annotation/images/8a79da34-23f6-4d88-9ff9-6ba9f8d5cc14.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
../human_annotation/images/b448fede-40b3-47cb-abfb-eae7c7daae14.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
../human_annotation/images/9f00a925-3bab-40fa-8eff-9615aa3a2ba1.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
