,example,changed,quality of life,capacity and resources,political,security and defense,policy prescription and evaluation,fairness and equality,none,health and safety,"legality, constitutionality and jurisprudence",morality,economic,public opinion,cultural identity,external regulation and reputation,crime and punishment,uuid
0,./data/images/b3e24c7e-2d65-48d8-9ef7-10bc61b64053.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,b3e24c7e-2d65-48d8-9ef7-10bc61b64053
1,./data/images/6536778e-6197-43b3-840f-f05a2478c7e0.jpg,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6536778e-6197-43b3-840f-f05a2478c7e0
2,./data/images/58e15587-c939-4657-8cef-0f27667d45d1.jpg,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,58e15587-c939-4657-8cef-0f27667d45d1
3,./data/images/e0b75fca-9925-4bea-8293-440c8afcee0a.jpg,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,e0b75fca-9925-4bea-8293-440c8afcee0a
4,./data/images/fc228953-68c5-4da9-9930-86aa823ef1bd.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,fc228953-68c5-4da9-9930-86aa823ef1bd
5,./data/images/d83096e6-8b95-4fa8-8b9c-d1b166f5a1fb.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,d83096e6-8b95-4fa8-8b9c-d1b166f5a1fb
6,./data/images/b6701c40-6a13-4e47-a277-b2b4c28cb02b.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,b6701c40-6a13-4e47-a277-b2b4c28cb02b
7,./data/images/b05d63c4-792a-47dd-9021-2f2914586a4c.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,b05d63c4-792a-47dd-9021-2f2914586a4c
8,./data/images/7709b229-0c0f-407c-b6ef-a5efdb5cbca9.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7709b229-0c0f-407c-b6ef-a5efdb5cbca9
9,./data/images/3929eead-b3aa-4ac5-8647-46d86240bf3a.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3929eead-b3aa-4ac5-8647-46d86240bf3a
10,./data/images/f4d73d03-159a-499e-8040-c6da3cf006ec.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,f4d73d03-159a-499e-8040-c6da3cf006ec
11,./data/images/7fefe077-6f25-4468-8628-a9935332d64f.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7fefe077-6f25-4468-8628-a9935332d64f
12,./data/images/d2fbef46-25bf-4ddb-9c17-b98965a7b86f.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,d2fbef46-25bf-4ddb-9c17-b98965a7b86f
13,./data/images/122011db-8be7-4ac4-b4c7-a00e65984475.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,122011db-8be7-4ac4-b4c7-a00e65984475
14,./data/images/2438b4fe-f045-4bd9-8483-946325033548.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2438b4fe-f045-4bd9-8483-946325033548
15,./data/images/ea6e3784-a9f0-4311-b5f7-1d86a7955e73.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,ea6e3784-a9f0-4311-b5f7-1d86a7955e73
16,./data/images/f5f99e73-51c6-4c7e-9adc-2b9dc9a7ceaa.jpg,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,f5f99e73-51c6-4c7e-9adc-2b9dc9a7ceaa
17,./data/images/e22aa0a2-ebec-4b60-92e9-1c8a51654b25.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,e22aa0a2-ebec-4b60-92e9-1c8a51654b25
18,./data/images/b1122f6e-f238-4758-8754-254ea0a40d5c.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,b1122f6e-f238-4758-8754-254ea0a40d5c
19,./data/images/eb2bd285-3c68-46a4-8cde-ba1f4a1c8167.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,eb2bd285-3c68-46a4-8cde-ba1f4a1c8167
20,./data/images/fd580e73-8163-40a9-a8f3-b54cc6ecca3e.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,fd580e73-8163-40a9-a8f3-b54cc6ecca3e
21,./data/images/9b9f0339-5824-47b9-9ad7-bc46dcd1f273.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,9b9f0339-5824-47b9-9ad7-bc46dcd1f273
22,./data/images/2259de42-57b8-4ef8-a5a1-a9f5422aa789.jpg,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2259de42-57b8-4ef8-a5a1-a9f5422aa789
23,./data/images/f281c190-3675-4bc0-919f-66009078116f.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,f281c190-3675-4bc0-919f-66009078116f
24,./data/images/9c5fe5d5-f7a1-47c9-8baf-a46167d5a6b7.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,9c5fe5d5-f7a1-47c9-8baf-a46167d5a6b7
25,./data/images/cb302861-6cbc-4396-822e-9baee3c35ee6.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cb302861-6cbc-4396-822e-9baee3c35ee6
26,./data/images/ce4cf2e6-3703-4e0e-a7ef-095ce08a43c6.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,ce4cf2e6-3703-4e0e-a7ef-095ce08a43c6
27,./data/images/4d393822-3ea4-4501-ba66-3fea101c9a9a.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4d393822-3ea4-4501-ba66-3fea101c9a9a
28,./data/images/30d97d69-661c-4cb4-947f-fe27a173fe4a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,30d97d69-661c-4cb4-947f-fe27a173fe4a
29,./data/images/affdd391-961d-45ab-846a-221ab7419daf.jpg,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,affdd391-961d-45ab-846a-221ab7419daf
