mistral_topic,meta_topic
Football,Sports
Retail Theft and Employee Termination,Crime
Political Misconduct,Politics
MLB Spring Training,Sports
Mathematics Education,Education
Cybersecurity,Technology
Labor Dispute,Politics
Parenting,Family
Golf,Sports
Bhimrao Ramji Ambedkar,Politics
Racial Abuse in Football,Crime
Sports,Sports
Crime,Crime
Education,Education
Corruption Allegations against President Biden,Politics
Immigration,Immigration
Shooting Incident,Crime
Criminal Justice Reform,Politics
Football Kits,Sports
Football Transfer News,Sports
Football Injury,Sports
Theater Performance,Entertainment
Sports Journalism,Sports
7-Eleven's Free Slurpee Day,Business
Sports Infrastructure Development,Sports
Inclusive Shopping,Society
Cruise Ship Accident,Accident
Virtual Holocaust Museum in Fortnite,Education
Housing Conditions,Housing
Mass Shooting,Crime
Violence,Crime
Illegal Marijuana Shops,Crime
Police Brutality,Crime
Entertainment,Entertainment
University of Texas Conservatism Centers,Education
Mayor Bass Anniversary Tour,Politics
Terrorism,War
Removal of Street Piano,Society
Holiday Shopping,Business
Family and Relationships,Family
Idaho Murders,Crime
Political Incident,Politics
Climate Change and Malaria,Environment
Recriminalization of Drug Possession and Criminal Justice System,Politics
College Football,Sports
Elections,Politics
Mexican Cartel Violence,Crime
Voter Fraud Prevention and ERIC,Politics
Delivery Services,Business
Leadership and Mindset,Business
Gambling,Crime
Labor Union,Politics
Retail,Business
Traffic Accident,Accident
Environment,Environment
Local Business,Business
Business,Business
Discovery of Body,Crime
Adoption,Family
NFL,Sports
Farmworker Heat Safety,Environment
Banking Issues,Business
Bus Fire,Accident
Reproductive Rights,Politics
Music Concert,Entertainment
Peace in Middle East,War
Vaccination and Dating,Health
Colorado River Water Crisis,Environment
Company Acquisition and Employee Integration,Business
Pet Care,Family
Leeds United's Poor Defensive Performance in the Premier League,Sports
U.S. Immigration Policies and International Student Enrollment,Immigration
Domestic Abuse,Crime
Local Regulation,Politics
Food Safety,Health
Theater Renovation,Entertainment
Film Analysis,Entertainment
Civil Unrest,Protests
Open Source Mapping,Technology
Religion,Religion
Literature,Culture
Composting,Environment
ESG Investing,Business
Medical Ethics,Health
Autonomous Vehicles,Technology
Sustainable Tourism,Environment
Neurodiversity in the Workplace,Business
Nuclear Tensions in Korea Strait,War
Indian Film: Laapataa Ladies,Entertainment
Budget,Politics
Public Health,Health
Brush Fire,Environment
Home Decor/Interior Design,Lifestyle
Spirits,Business
LGBTQIA+ Healthcare,Health
Health Equity,Health
Low-code Platforms and Software Development,Technology
Journalism,Journalism
Cooking,Lifestyle
Court Case,Legal
Economy,Economy
Stalking,Crime
Politics,Politics
Sacramento Beer Week,Entertainment
Iowa Caucuses,Politics
International Relations,Politics
School Shootings and Teen Mental Health,Health
TikTok Ban,Politics
Aviation Safety,Accident
Rescue at Sea,Accident
NFL Football,Sports
Film Festivals,Entertainment
Airline Incident,Accident
Israeli-Palestinian Conflict,War
Travel and Tourism,Business
Freelance Writing Jobs,Business
Impeachment of Alejandro Mayorkas,Politics
Health Recovery,Health
Politics and Controversy,Politics
Media Bias,Journalism
Jan. 6 Capitol Riot,Politics
Cell Service Outage,Technology
Email Marketing for Entrepreneurs,Business
Fraud,Crime
Censorship,Politics
Prison Transfer Protest,Protests
Crab Fishing Season,Environment
Aviation Education for Black Girls,Education
CD Accounts,Finance
Israel-Hamas Conflict,War
Fire at Cannabis Warehouse,Accident
Lottery,Business
Fundraising for Journalism,Journalism
2022 Iowa Republican Primary,Politics
Art,Culture
Middle East Conflict,War
Public Safety Infrastructure,Infrastructure
Transportation Infrastructure,Infrastructure
Traffic Management and AI,Technology
Weather,Weather
Taylor Swift Album Leak and Fan Reaction,Entertainment
Mobile App Development,Technology
Climate Change Impact on Health,Health
The Marvels Movie,Entertainment
Marine Life / Whale Stranding,Environment
Campus Protests and Discrimination,Protests
Digital Shopping Trends,Business
Plant-Based Diet,Health
Golf Sponsorship,Sports
Border Security,Politics
Artificial Intelligence,Technology
Catholic Church Sex Abuse Scandal in Spain,Crime
U.S. National Debt and Tax Policy,Politics
Voter Fraud,Crime
Integration of Mental Health Support into Chronic Care Management,Health
Food,Lifestyle
Entertainment Business,Business
Fatal Crash,Accident
Low-Alcohol Cocktails,Lifestyle
Traffic Safety around Schools,Accident
Sustainable Innovation in the Nordics,Environment
Illegal Motorcycle Stunt,Crime
NFL Playoffs,Sports
Legislation on Noncompete Agreements,Politics
Minnesota Timberwolves Playoffs,Sports
Government Shutdown,Politics
Prince Andrew Sexual Assault Allegations,Crime
Smartwatches and Fitness Trackers for Kids,Technology
Meteorites,Science
Accidental Shooting,Accident
Accident,Accident
Luxury Travel,Business
Ukraine-Taiwan Relations and Rebuilding Efforts,Politics
Mind Reading,Science
Ghislaine Maxwell Case,Crime
Archaeology,Culture
Niger Coup,Politics
Biden Family Bribery Allegations,Politics
Abortion Rights,Politics
Legal Proceedings against Donald Trump and Allies,Legal
Canadian Prime Minister Justin Trudeau's Technical Issue and Delay in India,Politics
Protests in Iran,Protests
Forced Displacement of Palestinians in Gaza,War
Pro-Life Movement and Pregnancy Resource Centers,Politics
Protests,Protests
Border Dispute,Politics
Political Protests,Protests
Menthol Cigarette Ban,Politics
Investigation and Political Interference,Politics
Espionage,Crime
2024 Republican Presidential Race,Politics
Landmine Safety Education in Ukraine,War
Ukraine Aid,War
Hunter Biden's Tax and Gun Case,Politics
Israel-Hamas War Journalist Casualties,War
Water Rights Dispute,Politics
U.S.-China Relations,Politics
India-Canada Tensions,Politics
Immigration Policy,Immigration
Presidential Age and Fitness,Politics
Journalism Funding,Journalism
Legal Proceedings,Legal
House Speaker Election,Politics
Evacuation of Americans from Sudan,War
Israel Support,War
Local Elections,Politics
North Korea's Missile Development,War
Pro-Palestinian Protests on College Campuses,Protests
