,example,changed,quality of life,capacity and resources,political,security and defense,policy prescription and evaluation,fairness and equality,none,health and safety,"legality, constitutionality and jurisprudence",morality,economic,public opinion,cultural identity,external regulation and reputation,crime and punishment,uuid
0,./data/images/fa112109-b3b6-4a40-aced-80713f97d7f4.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,fa112109-b3b6-4a40-aced-80713f97d7f4
1,./data/images/b36b8d53-46c5-43e6-8836-647080f7c97c.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,b36b8d53-46c5-43e6-8836-647080f7c97c
2,./data/images/ea131653-1867-45a4-a63e-c32fdcecead6.jpg,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,ea131653-1867-45a4-a63e-c32fdcecead6
3,./data/images/58c2d191-bbfc-4b05-a54f-75ccc26c08a8.jpg,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,58c2d191-bbfc-4b05-a54f-75ccc26c08a8
4,./data/images/dc53f59e-7c0f-4042-bfdf-c4350dab2fde.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,dc53f59e-7c0f-4042-bfdf-c4350dab2fde
5,./data/images/77a8296b-ca28-4240-b2ff-6836ce4eafb1.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,77a8296b-ca28-4240-b2ff-6836ce4eafb1
6,./data/images/7f0e120d-9a41-4aed-91b3-4811860f295a.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7f0e120d-9a41-4aed-91b3-4811860f295a
7,./data/images/b2159871-7bc6-47a0-994c-086b9eaaaab9.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,b2159871-7bc6-47a0-994c-086b9eaaaab9
8,./data/images/774a1c41-6df9-4067-b279-40a17bd303d1.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,774a1c41-6df9-4067-b279-40a17bd303d1
9,./data/images/8c6c04b0-f1f3-464d-951c-cb5bf666ad73.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8c6c04b0-f1f3-464d-951c-cb5bf666ad73
10,./data/images/c8c269f4-8c19-4e25-9ca1-917a0201ac7a.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,c8c269f4-8c19-4e25-9ca1-917a0201ac7a
11,./data/images/54a0b6f4-42f8-46a1-9161-1163529d5c5d.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,54a0b6f4-42f8-46a1-9161-1163529d5c5d
12,./data/images/2d1c4aab-0a4d-4bad-b00f-1dcbb88d1e35.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2d1c4aab-0a4d-4bad-b00f-1dcbb88d1e35
13,./data/images/12611745-bd10-4e23-8906-9be4a0b0b1e8.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,12611745-bd10-4e23-8906-9be4a0b0b1e8
14,./data/images/7cbf0740-24c1-4884-b9e7-3fc5cede4082.jpg,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,7cbf0740-24c1-4884-b9e7-3fc5cede4082
15,./data/images/2dbfef46-9007-4f91-81b8-e2f424a5d129.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2dbfef46-9007-4f91-81b8-e2f424a5d129
16,./data/images/8c2e0038-0dc5-440a-af63-7c9fc7d66c73.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8c2e0038-0dc5-440a-af63-7c9fc7d66c73
17,./data/images/0294cf33-eab1-43e3-b202-a4371b63ea0c.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0294cf33-eab1-43e3-b202-a4371b63ea0c
18,./data/images/7d557e18-5e28-41d7-b090-1039d13bf37c.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7d557e18-5e28-41d7-b090-1039d13bf37c
19,./data/images/6559b60b-19a3-415b-bf2f-c947cace9375.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6559b60b-19a3-415b-bf2f-c947cace9375
20,./data/images/07b3ba99-a24a-4bde-941c-edad1a0177b7.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,07b3ba99-a24a-4bde-941c-edad1a0177b7
21,./data/images/99a16255-a74e-4195-9713-5000366a3b8e.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,99a16255-a74e-4195-9713-5000366a3b8e
22,./data/images/bb63f0d0-4a7d-48bb-923c-e2cb40b73947.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,bb63f0d0-4a7d-48bb-923c-e2cb40b73947
23,./data/images/1abb96e0-f965-49ae-b694-829de0c7a959.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1abb96e0-f965-49ae-b694-829de0c7a959
24,./data/images/67a96524-803a-4590-84fd-2a33d1310b27.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,67a96524-803a-4590-84fd-2a33d1310b27
25,./data/images/4e1dfb81-735e-4597-93f9-e9722d12806a.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4e1dfb81-735e-4597-93f9-e9722d12806a
26,./data/images/266221e4-bdf5-470b-933b-7ab1f01ae28c.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,266221e4-bdf5-470b-933b-7ab1f01ae28c
27,./data/images/c0c92fd4-f54c-4c3c-b764-dcb380fc4712.jpg,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,c0c92fd4-f54c-4c3c-b764-dcb380fc4712
28,./data/images/efbcaf63-a88d-4212-bc3d-571afa1fecce.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,efbcaf63-a88d-4212-bc3d-571afa1fecce
29,./data/images/455b0d9d-f032-4280-9258-d5a1f2cfca2b.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,455b0d9d-f032-4280-9258-d5a1f2cfca2b
30,./data/images/9569cfea-28e3-48d5-91ea-10aa1d15aaf7.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9569cfea-28e3-48d5-91ea-10aa1d15aaf7
31,./data/images/df74721d-e35f-4e1f-b41c-46459195abbe.jpg,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,df74721d-e35f-4e1f-b41c-46459195abbe
32,./data/images/68883c25-ecb6-44f8-9c24-ced1684608d1.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,68883c25-ecb6-44f8-9c24-ced1684608d1
33,./data/images/68f4669f-a450-4a48-a938-6722187ee7a5.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,68f4669f-a450-4a48-a938-6722187ee7a5
34,./data/images/1b3040c1-8cfb-4668-afd4-fc4a116611f4.jpg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1b3040c1-8cfb-4668-afd4-fc4a116611f4
35,./data/images/e49c1fa9-7d84-4acb-a798-26bfce37dbac.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,e49c1fa9-7d84-4acb-a798-26bfce37dbac
36,./data/images/f0c52a1a-58af-40d2-a5b5-08782c67f2e9.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,f0c52a1a-58af-40d2-a5b5-08782c67f2e9
37,./data/images/1c0a438f-475b-41d5-a0a9-316b833cc8e0.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1c0a438f-475b-41d5-a0a9-316b833cc8e0
38,./data/images/131f5de7-d7bc-48e5-8af8-e06ad9dfeec8.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,131f5de7-d7bc-48e5-8af8-e06ad9dfeec8
39,./data/images/d7ffe226-e9c0-4881-a6a1-ad4b38e04089.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,d7ffe226-e9c0-4881-a6a1-ad4b38e04089
40,./data/images/3466c671-aa86-4fa3-a71a-2ccef3a23df4.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3466c671-aa86-4fa3-a71a-2ccef3a23df4
41,./data/images/d9c91d97-e657-4740-accf-49d099209813.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,d9c91d97-e657-4740-accf-49d099209813
42,./data/images/d55827ff-beef-478f-ac69-a930b59ee62c.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,d55827ff-beef-478f-ac69-a930b59ee62c
43,./data/images/a0e4cb97-f4ac-4601-9261-97cf2209ed4b.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,a0e4cb97-f4ac-4601-9261-97cf2209ed4b
44,./data/images/1fbfe99c-b8a7-42e1-a125-99d741cf5469.jpg,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1fbfe99c-b8a7-42e1-a125-99d741cf5469
45,./data/images/46f8fdfb-ae90-4caf-a3d0-09db17900d30.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,46f8fdfb-ae90-4caf-a3d0-09db17900d30
46,./data/images/4c3a830a-eb76-43d6-a09e-75799e8e031d.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4c3a830a-eb76-43d6-a09e-75799e8e031d
47,./data/images/b400b2ec-3350-4615-a370-b2f10c60163a.jpg,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,b400b2ec-3350-4615-a370-b2f10c60163a
48,./data/images/f2f313ec-665c-435f-8a75-79c83039cd4e.jpg,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,f2f313ec-665c-435f-8a75-79c83039cd4e
49,./data/images/8a1bc3c6-f069-4dc9-9bb3-dba301c61bd6.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8a1bc3c6-f069-4dc9-9bb3-dba301c61bd6
50,./data/images/fbeb92eb-399c-417d-97ca-b2e3be488ffb.jpg,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,fbeb92eb-399c-417d-97ca-b2e3be488ffb
